skim_type	skim_variable	n_missing	complete_rate	character.min	character.max	character.empty	character.n_unique	character.whitespace	numeric.mean	numeric.sd	numeric.p0	numeric.p25	numeric.p50	numeric.p75	numeric.p100	numeric.hist
character	Dominio	0	1	4	13	0	25	0	NA	NA	NA	NA	NA	NA	NA	NA
numeric	Clase	0	1	NA	NA	NA	NA	NA	1.09379243452958	0.291540612962154	1	1	1	1	2	▇▁▁▁▁
numeric	Nper	0	1	NA	NA	NA	NA	NA	3.29236784675073	1.77479924178441	1	2	3	4	28	▇▁▁▁▁
numeric	pagada	0	1	NA	NA	NA	NA	NA	0.377521823472357	0.484768522972975	0	0	0	1	1	▇▁▁▁▅
numeric	hipoteca	0	1	NA	NA	NA	NA	NA	0.0341052376333657	0.181500055366027	0	0	0	0	1	▇▁▁▁▁
numeric	arriendo	0	1	NA	NA	NA	NA	NA	0.390718962172648	0.487913002392474	0	0	0	1	1	▇▁▁▁▅
numeric	usufructo	0	1	NA	NA	NA	NA	NA	0.150733511154219	0.357790016347646	0	0	0	0	1	▇▁▁▁▂
numeric	sin_titulo	0	1	NA	NA	NA	NA	NA	0.0459141610087294	0.209299585247554	0	0	0	0	1	▇▁▁▁▁
numeric	Lp	0	1	NA	NA	NA	NA	NA	271522.314557909	33656.8921583587	167222.477630338	275594.029448349	279944.529963471	285649.510163601	303816.690226449	▁▁▁▂▇
numeric	Pobre	0	1	NA	NA	NA	NA	NA	0.200193986420951	0.400146629206314	0	0	0	0	1	▇▁▁▁▂
numeric	H_Head_mujer	0	1	NA	NA	NA	NA	NA	0.418289282250242	0.493279670834274	0	0	0	1	1	▇▁▁▁▆
numeric	H_afi_salud	0	1	NA	NA	NA	NA	NA	0.999993937924345	0.00246212827746732	0	1	1	1	1	▁▁▁▁▇
numeric	H_Head_Educ_level	0	1	NA	NA	NA	NA	NA	4.36573108632396	1.40433729981884	0	3	5	6	6	▁▁▅▂▇
numeric	H_cotizando	0	1	NA	NA	NA	NA	NA	1.12128394762367	0.82835582007589	0	0	1	2	2	▆▁▆▁▇
numeric	H_Head_ocupado	0	1	NA	NA	NA	NA	NA	0.710208535402522	0.453666859382144	0	0	1	1	1	▃▁▁▁▇
numeric	nmujeres	0	1	NA	NA	NA	NA	NA	1.7404037342386	1.17973127785771	0	1	2	2	14	▇▂▁▁▁
numeric	nmayor_edad	0	1	NA	NA	NA	NA	NA	2.37322987390883	1.19586057894844	0	2	2	3	19	▇▂▁▁▁
numeric	nafi_salud	0	1	NA	NA	NA	NA	NA	2.71374272550921	1.39997403062497	0	2	2	3	19	▇▂▁▁▁
numeric	maxEducLevel	0	1	NA	NA	NA	NA	NA	5.1177861299709	1.10534653533482	0	5	5	6	6	▁▁▁▁▇
numeric	nt_trab_semanal	0	1	NA	NA	NA	NA	NA	1.50384941804074	1.02674176554629	0	1	1	2	14	▇▁▁▁▁
numeric	ncotizando	0	1	NA	NA	NA	NA	NA	2.39159190106693	1.83129170635084	0	1	2	3	21	▇▁▁▁▁
numeric	nocupados	0	1	NA	NA	NA	NA	NA	1.50384941804074	1.02674176554629	0	1	1	2	14	▇▁▁▁▁
